,Usia,Gender,Gaji,Jumlah Anak
0,17,L,1-3jt,0
1,35,L,1-3jt,6
2,40,P,5-10jt,6
3,45,P,1-3jt,1
4,45,L,1-3jt,5
5,21,L,3-5jt,1
6,38,P,1-3jt,5
7,22,P,5-10jt,5
8,29,L,1-3jt,5
9,60,P,5-10jt,3
10,30,L,3-5jt,0
11,36,L,3-5jt,1
12,29,P,5-10jt,4
13,33,P,5-10jt,6
14,35,L,1-3jt,3
15,25,P,1-3jt,0
16,39,L,5-10jt,2
17,41,P,1-3jt,2
18,34,L,5-10jt,5
19,31,P,3-5jt,1
20,33,L,5-10jt,5
21,53,L,3-5jt,6
22,42,L,5-10jt,6
23,32,L,5-10jt,2
24,47,L,5-10jt,0
25,20,L,1-3jt,0
26,55,P,3-5jt,2
27,23,P,3-5jt,3
28,26,P,5-10jt,2
29,51,P,3-5jt,2
30,55,L,3-5jt,2
31,37,L,5-10jt,5
32,33,L,3-5jt,1
33,23,L,5-10jt,4
34,55,L,1-3jt,5
35,52,P,3-5jt,3
36,31,L,3-5jt,0
37,60,L,3-5jt,4
38,35,L,1-3jt,0
39,26,P,5-10jt,2
40,24,L,3-5jt,3
41,22,P,5-10jt,1
42,29,L,5-10jt,1
43,36,P,3-5jt,0
44,59,P,3-5jt,3
45,43,L,1-3jt,4
46,38,L,1-3jt,2
47,56,P,1-3jt,4
48,58,L,1-3jt,5
49,25,P,1-3jt,1
50,17,L,1-3jt,2
51,54,L,1-3jt,0
52,54,L,5-10jt,6
53,47,P,3-5jt,4
54,23,P,3-5jt,6
55,42,P,5-10jt,1
56,48,P,1-3jt,6
57,44,L,5-10jt,3
58,49,P,1-3jt,6
59,42,P,5-10jt,5
60,49,L,3-5jt,3
61,35,P,5-10jt,5
62,32,P,5-10jt,5
63,32,L,1-3jt,3
64,24,P,1-3jt,0
65,51,P,5-10jt,3
66,40,L,1-3jt,3
67,53,P,5-10jt,5
68,18,L,3-5jt,5
69,34,P,1-3jt,3
70,26,P,5-10jt,5
71,57,L,5-10jt,0
72,39,P,5-10jt,4
73,32,L,1-3jt,2
74,27,P,1-3jt,6
75,29,P,5-10jt,0
76,50,P,5-10jt,1
77,52,L,3-5jt,5
78,21,P,3-5jt,5
79,37,P,1-3jt,5
80,24,P,1-3jt,5
81,56,L,5-10jt,1
82,22,P,1-3jt,5
83,50,P,1-3jt,5
84,55,L,3-5jt,5
85,19,L,5-10jt,4
86,49,P,3-5jt,3
87,45,L,3-5jt,6
88,52,P,1-3jt,1
89,20,L,3-5jt,4
90,43,P,3-5jt,5
